Hookup,BillingDate,Reading,Type,ReadDate,Ref,AddedUse,AddUseHow,*,*
100096,06/21/20,42.00,R,000000, ,.00,0,*
100098,06/21/20,87.00,R,000000, ,.00,0,*
100099,06/21/20,40.00,R,000000, ,.00,0,*
100100,06/21/20,21.00,R,000000, ,.00,0,*
100101,06/21/20,74.00,R,000000, ,.00,0,*
100102,06/21/20,36.00,R,000000, ,.00,0,*
100103,20101220,41.00,R,000000, ,.00,0,*
100104,20060220,101.00,R,000000, ,.00,0,*
100105,06/21/20,41.00,R,000000, ,.00,0,*
100106,06/21/20,43.00,R,000000, ,.00,0,*
100107,06/21/20,67.00,R,000000, ,.00,0,*
100108,06/21/20,66.00,R,000000, ,.00,0,*
100109,06/21/20,84.00,R,000000, ,.00,0,*
100110,06/21/20,14.00,R,000000, ,.00,0,*
100111,06/21/20,44.00,R,000000, ,.00,0,*
100112,06/21/20,16.00,R,000000, ,.00,0,*
100113,06/21/20,41.00,R,000000, ,.00,0,*
100114,06/21/20,44.00,R,000000, ,.00,0,*
100115,06/21/20,1.00,R,000000, ,.00,0,*
100116,20050620,19.00,R,000000, ,.00,0,*
100117,06/21/20,441.00,R,000000, ,.00,0,*
100118,06/21/20,21.00,R,000000, ,.00,0,*
100119,20100920,22.00,R,000000, ,.00,0,*
100120,06/21/20,12.00,R,000000, ,.00,0,*
100121,06/21/20,102.00,R,000000, ,.00,0,*
100122,06/21/20,62.00,R,000000, ,.00,0,*
100123,06/21/20,241.00,R,000000, ,.00,0,*
100124,20090620,24.00,R,000000, ,.00,0,*
100125,06/21/20,166.00,R,000000, ,.00,0,*
100126,06/21/20,18.00,R,000000, ,.00,0,*
100127,06/21/20,.00,R,000000, ,.00,0,*
100128,06/21/20,34.00,R,000000, ,.00,0,*
100129,20050620,26.00,R,000000, ,.00,0,*
100130,06/21/20,.00,R,000000, ,.00,0,*
100131,06/21/20,219.00,R,000000, ,.00,0,*
100132,06/21/20,20.00,R,000000, ,.00,0,*
100133,20050220,70.00,R,000000, ,.00,0,*
100134,06/21/20,73.00,R,000000, ,.00,0,*
100135,20070920,107.00,R,000000, ,.00,0,*
100136,06/21/20,.00,R,000000, ,.00,0,*
100137,20050320,20.00,R,000000, ,.00,0,*
100138,20050120,94.00,R,000000, ,.00,0,*
100140,06/21/20,12.00,R,000000, ,.00,0,*
100142,20101020,5.00,R,000000, ,.00,0,*
100143,20091020,11.00,R,000000, ,.00,0,*
100145,20091020,1.00,R,000000, ,.00,0,*
100146,20101020,4.00,R,000000, ,.00,0,*
100147,20100820,81.00,R,000000, ,.00,0,*
100148,20061220,38.00,R,000000, ,.00,0,*
100149,06/21/20,54.00,R,000000, ,.00,0,*
100150,06/21/20,84.00,R,000000, ,.00,0,*
100151,06/21/20,17.00,R,000000, ,.00,0,*
100152,06/21/20,46.00,R,000000, ,.00,0,*
100154,06/21/20,169.00,R,000000, ,.00,0,*
100155,06/21/20,.00,R,000000, ,.00,0,*
100156,20060720,20.00,R,000000, ,.00,0,*
100157,06/21/20,8.00,R,000000, ,.00,0,*
100158,06/21/20,16.00,R,000000, ,.00,0,*
100159,06/21/20,39.00,R,000000, ,.00,0,*
100160,06/21/20,60.00,R,000000, ,.00,0,*
100161,06/21/20,37.00,R,000000, ,.00,0,*
100162,20060920,35.00,R,000000, ,.00,0,*
100163,06/21/20,36.00,R,000000, ,.00,0,*
100164,06/21/20,.00,R,000000, ,.00,0,*
100165,20041220,87.00,R,000000, ,.00,0,*
100166,06/21/20,48.00,R,000000, ,.00,0,*
100167,06/21/20,80.00,R,000000, ,.00,0,*
100168,06/21/20,24.00,R,000000, ,.00,0,*
100169,20100220,42.00,R,000000, ,.00,0,*
100170,06/21/20,1.00,R,000000, ,.00,0,*
100170,20050120,3.00,R,000000, ,.00,0,*
100172,20050120,64.00,R,000000, ,.00,0,*
100173,20061020,21.00,R,000000, ,.00,0,*
100174,06/21/20,42.00,R,000000, ,.00,0,*
100175,20051220,66.00,R,000000, ,.00,0,*
100176,06/21/20,49.00,R,000000, ,.00,0,*
100177,06/21/20,45.00,R,000000, ,.00,0,*
100178,20041220,37.00,R,000000, ,.00,0,*
100179,19490120,15.00,R,000000, ,.00,0,*
100180,06/21/20,81.00,R,000000, ,.00,0,*
100181,20080520,13.00,R,000000, ,.00,0,*
100182,20060720,24.00,R,000000, ,.00,0,*
100183,06/21/20,102.00,R,000000, ,.00,0,*
100185,06/21/20,20.00,R,000000, ,.00,0,*
100186,06/21/20,141.00,R,000000, ,.00,0,*
100187,06/21/20,26.00,R,000000, ,.00,0,*
100188,06/21/20,40.00,R,000000, ,.00,0,*
100189,06/21/20,99.00,R,000000, ,.00,0,*
100190,06/21/20,56.00,R,000000, ,.00,0,*
100191,06/21/20,92.00,R,000000, ,.00,0,*
100192,06/21/20,99.00,R,000000, ,.00,0,*
100193,06/21/20,22.00,R,000000, ,.00,0,*
100194,06/21/20,18.00,R,000000, ,.00,0,*
100195,06/21/20,64.00,R,000000, ,.00,0,*
100196,06/21/20,29.00,R,000000, ,.00,0,*
100197,06/21/20,45.00,R,000000, ,.00,0,*
100198,20100920,35.00,R,000000, ,.00,0,*
100199,06/21/20,101.00,R,000000, ,.00,0,*
100201,06/21/20,14.00,R,000000, ,.00,0,*
100202,06/21/20,43.00,R,000000, ,.00,0,*
100203,20050920,16.00,R,000000, ,.00,0,*
100204,06/21/20,5.00,R,000000, ,.00,0,*
100205,20060620,7.00,R,000000, ,.00,0,*
100206,06/21/20,14.00,R,000000, ,.00,0,*
100207,06/21/20,33.00,R,000000, ,.00,0,*
100208,06/21/20,.00,R,000000, ,.00,0,*
100209,06/21/20,97.00,R,000000, ,.00,0,*
100210,06/21/20,44.00,R,000000, ,.00,0,*
100211,20100820,6.00,R,000000, ,.00,0,*
100212,06/21/20,56.00,R,000000, ,.00,0,*
100213,20080920,18.00,R,000000, ,.00,0,*
100214,20100320,22.00,R,000000, ,.00,0,*
100215,06/21/20,26.00,R,000000, ,.00,0,*
100216,20090620,47.00,R,000000, ,.00,0,*
100217,06/21/20,65.00,R,000000, ,.00,0,*
100218,06/21/20,27.00,R,000000, ,.00,0,*
100219,20070320,35.00,R,000000, ,.00,0,*
100220,06/21/20,233.00,R,000000, ,.00,0,*
100222,06/21/20,27.00,R,000000, ,.00,0,*
100223,06/21/20,74.00,R,000000, ,.00,0,*
100224,06/21/20,66.00,R,000000, ,.00,0,*
100225,06/21/20,55.00,R,000000, ,.00,0,*
100226,20090520,26.00,R,000000, ,.00,0,*
100227,06/21/20,14.00,R,000000, ,.00,0,*
100228,06/21/20,.00,R,000000, ,.00,0,*
100229,20050720,44.00,R,000000, ,.00,0,*
100230,06/21/20,76.00,R,000000, ,.00,0,*
100231,06/21/20,384.00,R,000000, ,.00,0,*
100232,20100520,68.00,R,000000, ,.00,0,*
100233,06/21/20,29.00,R,000000, ,.00,0,*
100234,06/21/20,12.00,R,000000, ,.00,0,*
100235,06/21/20,464.00,R,000000, ,.00,0,*
100236,06/21/20,.00,R,000000, ,.00,0,*
100237,06/21/20,11.00,R,000000, ,.00,0,*
100238,06/21/20,14.00,R,000000, ,.00,0,*
100239,06/21/20,16.00,R,000000, ,.00,0,*
100241,06/21/20,.00,R,000000, ,.00,0,*
100242,06/21/20,29.00,R,000000, ,.00,0,*
100243,06/21/20,44.00,R,000000, ,.00,0,*
100244,20071020,127.00,R,000000, ,.00,0,*
100245,20060720,9.00,R,000000, ,.00,0,*
100246,06/21/20,13.00,R,000000, ,.00,0,*
100247,06/21/20,.00,R,000000, ,.00,0,*
100248,06/21/20,31.00,R,000000, ,.00,0,*
100250,06/21/20,12.00,R,000000, ,.00,0,*
100252,06/21/20,471.00,R,000000, ,.00,0,*
100253,06/21/20,74.00,R,000000, ,.00,0,*
100254,06/21/20,41.00,R,000000, ,.00,0,*
100255,20101220,26.00,R,000000, ,.00,0,*
100256,06/21/20,51.00,R,000000, ,.00,0,*
100257,06/21/20,.00,R,000000, ,.00,0,*
100258,06/21/20,84.00,R,000000, ,.00,0,*
100259,06/21/20,50.00,R,000000, ,.00,0,*
100260,06/21/20,12.00,R,000000, ,.00,0,*
100261,06/21/20,12.00,R,000000, ,.00,0,*
100262,20041220,91.00,R,000000, ,.00,0,*
100263,06/21/20,132.00,R,000000, ,.00,0,*
100264,06/21/20,.00,R,000000, ,.00,0,*
100265,06/21/20,40.00,R,000000, ,.00,0,*
100266,06/21/20,33.00,R,000000, ,.00,0,*
100267,06/21/20,8.00,R,000000, ,.00,0,*
100268,06/21/20,12.00,R,000000, ,.00,0,*
100269,06/21/20,23.00,R,000000, ,.00,0,*
100270,06/21/20,21.00,R,000000, ,.00,0,*
100271,06/21/20,53.00,R,000000, ,.00,0,*
100272,20100220,50.00,R,000000, ,.00,0,*
100273,06/21/20,75.00,R,000000, ,.00,0,*
100274,20050720,34.00,R,000000, ,.00,0,*
100275,06/21/20,1.00,R,000000, ,.00,0,*
100276,06/21/20,26.00,R,000000, ,.00,0,*
100277,06/21/20,14.00,R,000000, ,.00,0,*
100278,06/21/20,73.00,R,000000, ,.00,0,*
100279,06/21/20,80.00,R,000000, ,.00,0,*
100281,06/21/20,74.00,R,000000, ,.00,0,*
100282,20051020,.00,R,000000, ,.00,0,*
100283,20051020,102.00,R,000000, ,.00,0,*
100284,20051020,.00,R,000000, ,.00,0,*
100285,06/21/20,45.00,R,000000, ,.00,0,*
100286,06/21/20,47.00,R,000000, ,.00,0,*
100287,20050220,1.00,R,000000, ,.00,0,*
100288,20071020,.00,R,000000, ,.00,0,*
100289,20100120,4.00,R,000000, ,.00,0,*
100290,06/21/20,44.00,R,000000, ,.00,0,*
100291,06/21/20,90.00,R,000000, ,.00,0,*
100292,06/21/20,26.00,R,000000, ,.00,0,*
100293,20000020,209.00,R,000000, ,.00,0,*
100295,06/21/20,.00,R,000000, ,.00,0,*
100296,06/21/20,3.00,R,000000, ,.00,0,*
100297,20070920,32.00,R,000000, ,.00,0,*
100298,20091120,24.00,R,000000, ,.00,0,*
100299,06/21/20,23.00,R,000000, ,.00,0,*
100300,06/21/20,25.00,R,000000, ,.00,0,*
100301,06/21/20,40.00,R,000000, ,.00,0,*
100302,20080620,48.00,R,000000, ,.00,0,*
100303,06/21/20,53.00,R,000000, ,.00,0,*
100304,06/21/20,72.00,R,000000, ,.00,0,*
100305,20070320,47.00,R,000000, ,.00,0,*
100306,06/21/20,22.00,R,000000, ,.00,0,*
100307,06/21/20,14.00,R,000000, ,.00,0,*
100308,06/21/20,60.00,R,000000, ,.00,0,*
100309,06/21/20,44.00,R,000000, ,.00,0,*
