"PROP   ","CARD#","1VECTOR                                                               ","2VECTOR                                                               ","3VECTOR                                                               ","4VECTOR                                                               ","5VECTOR                                                               ","6VECTOR                                                               ","7VECTOR                                                               ","8VECTOR                                                               ","9VECTOR                                                               ","AVECTOR                                                               ","BVECTOR                                                               ","CVECTOR                                                               ","DVECTOR                                                               ","EVECTOR                                                               ","FVECTOR                                                               ","01LAB ","02LAB ","03LAB ","04LAB ","05LAB ","06LAB ","07LAB ","08LAB ","09LAB ","10LAB ","11LAB ","12LAB ","13LAB ","14LAB ","15LAB ","16LAB ","17LAB ","18LAB ","19LAB ","20LAB ","01AREA                        ","02AREA                        ","03AREA                        ","04AREA                        ","05AREA                        ","06AREA                        ","07AREA                        ","08AREA                        ","09AREA                        ","10AREA                        ","11AREA                        ","12AREA                        ","13AREA                        ","14AREA                        ","15AREA                        ","16AREA                        ","17AREA                        ","18AREA                        ","19AREA                        ","20AREA                        " 
"2270003","01","1.5SFR=N24E40S24M1W40%WDDK=G0W6N24E6S24%WDDK=G1E9N24W9S24             ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ",                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                               
"2270004","01","1SFR=N9W1N14E1N10E33S33W33%EFP=GE13XE16S12W16N12                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ",                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                               
"2270005","01","1.5SFR=N24E40s24w40%WDDK=GE40GN2XN20E4GE4GS4DS16W8                    ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ",                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                               
"2270006","01","2SFR=N26E22S26M1W22%1SFR=G1S6W8N6E8%OFP=G1GW8XS6W6N6E6%SHED=G1GW22GN10","XN12W4S12E4                                                           ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ",                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                               
"2270007","01","1.5SFR=N24E40s24w40                                                   ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ",                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                               
"2270008","01","2SFR=N26E22S26M1W22%SHED=G1S6W8N6E8%OFP=G1GW8XS6W6N6E6%WDDK=G1GN4XE10N","20W10S20%BPAT=G1GW14XS8W13N12E5S4E8                                   ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ",                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                               
"2270009","01","1SFR=N9W1N14E1N10E33S33W33                                            ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ",                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                               
"2270010","01","1SFR=N24E33S24W18S1W12N1W3%SHED=GE33XN8E6S8W6%WDDK=GN24GW9XN8W16S8E16 ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ",                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                               
"2270011","01","2SFR=N26M1E22S26W22%SHED=S6E8N6W8%OFP=GE8XS6E6N6W6%WDDK=G1E8N5W17GS4GW","3DS10GS4GE3DE9N13                                                     ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ",                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                               
"2270012","01","2SFR=N26E22S26M1W22%SHED=G1S6W8N6E8%OFP=G1GW8XS6W6N6E6%WDDK=G1GN26XW8N","4E18S16W10N12                                                         ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ",                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                               
"2270013","01","1.5SFR=N24E40s24w40%GRHSE=GE40GN24XE7S8W7N8                           ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ",                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                               
"2270014","01","1.5SFR=N24E40s24w40                                                   ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ",                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                               
"2270015","01","1SFR=N9W1N14E1N10E33S33W33%WDDK=GE33GN10XN22E10S22W10                 ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ",                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                               
"2280080","01","1SBR=N40GN18GE18DE55N36E43S36GE36GS36DE38GE18GS18DS40GS18GW18DW79|%GW3","6GN36DW57GW18GN18D                                                    ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ",                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                               
"2280100","01","1SFR=N64W4N32E4NN2E38S2E35N30W35S2W38N2W4N32E4N64E38S58E35N6E60M1S6|%E","35N58E38S64E4S32W4S2W38N2W35S30E35N2E38S2E4S32W4S64W38N58W35S6W60N6|%W","35S58W38%CPY=G1GW8XN11W28S11E28                                       ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ",                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                               
"2280150","01","1SBR=N128E40S32E80N32E40N32E40N32E40S128M1W40S32W40S32W40S32W80N32W40%","OP=G0GE40XS16W20N16E20%OP=G1GW40XS16E20N16W20%OP=G0GE40GS32GE80GN32XE2","0S16W20N16                                                            ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ",                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                               
"2280200","01","2SBR@-48,121=N80GN14GW14DW80N15W5N21E5N15E95S18M1E12GE20GS20DS12E18|%S","95M2W15S5W21N5W15%BROH@41,104=G2N95W18N2E20s99W17N2E15%BROH@10,138=G1N","18W95S15W2N17e99S20W2%BROH@-55,90=G0N80GN14GW14DW80N15W2S17e82GE12GS12","Ds82E17N2W15%1SBR@-18,75=G0GN74XN6GN14GW14DW6S8GS12GE12DE8            ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ",                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                               
"2290028","01","2SFR/B=N36M1E26S12E19N8E16S33W16S2M2W15N3W30%1SFR(576)/3CFG(864)#0=G1W","24S36E24N36%1SFR/B=G1GE26XN10E19S22W19N12%OFP=G2S8W15N8E15%OFP=G0S4E12","N4W12%STPT@22,52=G1GE26XN10E19N14W41S24E22                            ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","2SFR  ","B     ","FREEF ","1SFR  ","OFP   ","STPT  ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ",                          1998,                          2416,                            -1,                           418,                           168,                           794,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                               
"2290035","01","2SFR/B=N4W10N9E10N24E15M1S15E19N15E14S7E9M2S28W13S2W16N2W8S7W8N5W12%1S","FR/B@-4,14=G0S4W18N26E11N18E20S3W13S24W10S9E10S4%1SFR/B=G1S15E19N15W19"," %1SFR/B@60,34=G1GE19XN3E14N12E22S22W22N7W14%1SFR(504)/3CFG(850)#0=G2E","25S34W25N34%WDDK=G1GW2XN14E21N12E14S23W14S3W21                        ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ",                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                               
"2290043","01","1SFR(475)/3CBRG(935)#0=N23E39M1S25W19N2W20%2SBR/B@38,39=G1W19N28E1N5GE","4GN4DE8GE4GS4DS5E17M2S16E18N8E20S18W20S7|%W25N4W8N1%1SBR/B=G2E18S16W18","N16%STNPT=G2E3N14W20S14E17                                            ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ",                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                               
"2300001","01","1SBR+FR/B=S6W23N15M1W15N29E18S13E20S25%OFP=G1W6S6E6N6%WDDK=G0N21GN5GE3","DE24S21GS6GW3DGW6GN1DW18%1SFR=G0E18GS1GE6DGE3GN6DGE14GS12DGS16GW14DGN1","1GW14DGW2GS3DGW11GN10DN5%OFP@13,-20=G0GS26GE25XGE2GN3DGN11GW14DGW2GS3D","GS11GE14D%2CFRG=G0GS25GE25XGS14GE17DGE18GN19DGN14GW17DGW18GS19D       ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ",                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                               
"2300002","01","1.5SFR/B=N30M2E32S26M1W14S4W18%1SFR@36,10=G1GN1XN10GE2GS3DS4GS3GW2D%1S","FR@9,36=G2N14E20S14M3W20%WDDK@25,33=G3N10E4S5E6S5W10%STNPT=G3GN10XN7E2","4S12W20N5W4%WDDK@-8,15=G2GN14XW12S35W6S8E10GS5GE5DE21N4W18N44         ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ",                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                               
"2300003","01","1.5SFR/B=N26M1E26S26W26%EFP=G1E6N8W16M2S14E10N6%2CFG=G2N3W18M3W2S20E20","N17%SHED=G3N4E8S4W8                                                   ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ",                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                               
"2310012","01","2SFR/B=N25M1E34S25M2W34%1SFR/B=G1N9M3W14M4S19M5E14N10%EFP=G3GW2XN16W16","S16M6E16%SHED=G6N16W16S16E16%2CFG=G4W22S24E22N24%OFP=G5S4E14N4W14%FOH@","17,1=G2S1W34N1E34                                                     ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ",                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                               
