"PROP   ","CARD#","1VECTOR                                                               ","2VECTOR                                                               ","3VECTOR                                                               ","4VECTOR                                                               ","5VECTOR                                                               ","6VECTOR                                                               ","7VECTOR                                                               ","8VECTOR                                                               ","9VECTOR                                                               ","AVECTOR                                                               ","BVECTOR                                                               ","CVECTOR                                                               ","DVECTOR                                                               ","EVECTOR                                                               ","FVECTOR                                                               ","01LAB ","02LAB ","03LAB ","04LAB ","05LAB ","06LAB ","07LAB ","08LAB ","09LAB ","10LAB ","11LAB ","12LAB ","13LAB ","14LAB ","15LAB ","16LAB ","17LAB ","18LAB ","19LAB ","20LAB ","01AREA                        ","02AREA                        ","03AREA                        ","04AREA                        ","05AREA                        ","06AREA                        ","07AREA                        ","08AREA                        ","09AREA                        ","10AREA                        ","11AREA                        ","12AREA                        ","13AREA                        ","14AREA                        ","15AREA                        ","16AREA                        ","17AREA                        ","18AREA                        ","19AREA                        ","20AREA                        " 
"1050027","01","2SFR/B=N25M1E37M2S25M3W37%FOH@18,-3=G3S1W37N1E37%1SFR/B=G2E16S24M4W1N4","W15M5N20%OFP=G5S4E15N4W15%2CFG=G4N24E21S24W21%OFP=G2W2N12E20S12W18%FOH","@18,28=G2N1W37S1E37                                                   ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ",                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                               
"1050028","01","2SFR/B=N35M1E25S35W25%1SFOH@-3,20=G1W1S36E27N13W1S12W25N35%EFP=G1GE8XN","3E6S3W6%1SFR/B=G1GE25XN2E15S21W14N19W1%2CFRG=G1GE25GN2GE15XE22S25W22M2","N25%CPAT=G1GE25GN2GE2XN12E10S12W10%OFP=G2N4W15S4E15                   ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ",                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                               
"1050033","01","2SFR/B=N35M1E25M2S35W25%FOH@29,6=G1W1S36E27N36W1S35W25N35%WDDK=G1W1N15","E26M3S15W25%EFP=G3E18S12W18M4N12%1SFR/B=G4S20M5E15N20M6W15%2CFG=G6E22S","24W22N24%OFP=G5S4E15N4W15%1SFR@-4,36=G1N2E10S2W10                     ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ",                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                               
"1050034","01","2SFR/B=N25M1E34M2S25M3W34%OFP@23,-2=G3S5W21N5E21%FOH@6,-2=G3S1W34N1E34"," %FOH@17,28=G1N1E34S1W34%1SFR/B=G2N5M4E22S14M5W22N9%2CFG=G5S22W22N22E2","2%WDDK=G4N16E22S16W22                                                 ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ",                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                               
"1050037","01","2SFR/B=N36M1E25M2S20W1M3S16W24%FOH@28,4=G1W1S37E26N17W1S16W24N36%1SFR/","B=G2E30M4S24W19N4W11N20%CPAT=G4GW1XN12W20S12E20%2CFG=G4E21S24W21N24%OF","P=G3S4E12N4W12                                                        ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ",                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                               
"1050038","01","1SFR/B=N27M1E56S29M3W24N2W32%OFP/CPAT=G1N12E18S12W18%FOH@50,-1=G3S2W24","N2E24                                                                 ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ",                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                               
"1060008","01","2SFR/B=N27M1E45M2S28M3W12M4N1W33%1SFR/B@39,0=G4S3E12N3W12%OFP/STNPT@14",",-4=G4S3W16N3E16%FOH@8,-3=G4N1W33S1E33%1SFR/B=G2S7M5E7N7W7%2CFG=G5GS6X","S18E24N24W17S3W3S3W4%STNPT=G1N15E18S15W18%1SFR@47,18=G5E7S3W3S3W4N6%WD","DK=G1GE25XN14E19GE5GS3DS11W24%STNPT=G3GW12GS3XS9W16N9E16              ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ",                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                               
"1060014","01","2SFR/B=N25E46M1S25M2W46%WDDK=G1N12W18S12E18%1SFR/B=G1N4E12M4S21M5W12N1","7%2CFG=G4E23S24W23N24%OFP=G5S3W12N3E12%FOH@48,0=G2S1W46N1E46          ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ",                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                               
"1060020","01","2CFG=N24E23M1S24W23%1SFR/B=G1E12M2S18M3W12N18%OFP=G3S6W12N6E12%2SFR/B=","G2E48M5S30M6W48N30%FOH@33,-6=G6S1W48N1E48%1SFR/B@75,29=G5N3W14S3E14%ST","NPT=G2GE2XN14E24S14W24                                                ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ",                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                               
"1060025","01","2SFR/B=N25E34M1S25M2W34%1SFOH@17,1=G2S1W34N1E34%WDDK=G1W2N14E16S14W14%","1SFR/B=G1E14S19W14N19%OFP=G1GS19XE14S5W14N5%2CFRG=G1GE14XE24S24W24N24 ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ",                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                               
"1060028","01","2SFR/B=N32E16M1E32S2M2S30W48%1SFR/B@14,33=G1N2E17M4S2W17%WDDK=G4N9W17S","9E17%1SFR/B=G2E14S15M6W14N15%2CFG=G6S5E23N23W23S18                    ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ",                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                               
"1060031","01","2SFR/B=N32M1E38M2S32W38%1SFR(548)/3CFG(748)#0=G1W22S34E22N34%1SFR/B@31",",35=G2N5W15S5E15%OFP=G2GW15XN14W20S14E20                              ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ",                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                               
"1060035","01","2SFR/B=N25M1E34M2N6M3E14M4S19W14S12W34%FOH@17,-4=S1E34N1W34%FOH=G1N1E3","4S1W34%1SFR/B@5,32=G1N5E14S5W14%WDDK=G2N18W20S18E20%WDDK=G3N25E29S25W4","M5N21W21S21W4%1SFR/B=G5N21W21S21E21%2SFR/B=G4S19W14S14E22M6N9E16M7N24W","24%1SFR/3CFG=G7N34E22S34W22%OFP=G6S4W22N4E22                          ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ",                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                               
